机构名称,聚类结果,领域数量,投资次数,投资总额,所投公司存活时间,所投公司创业人数,所投公司管理层毕业于世界500强大学占比,所投公司在一线城市占比,所投公司在二线城市占比,金融占比,旅游占比,硬件占比,汽车交通占比,企业服务占比,本地生活占比,电子商务占比,教育占比,广告营销占比,游戏占比,文化娱乐体育占比,医疗健康占比,房产服务占比,SNS社交网络占比,移动互联网占比,工具软件占比,未知领域占比
Valor Capital Group,2,0.3125,0.012165450121654502,0.033983824783922444,0.3114568599717115,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
NXTP Labs,10,0.1875,0.009732360097323601,2.057281161758761E-4,0.06152758132956153,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2B Angels,3,0.125,0.0072992700729927005,0.0010367177971697485,0.17821782178217824,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
PayPal,9,0.125,0.0072992700729927005,0.03666205966181475,0.18104667609618105,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
北京众海投资,0,0.3125,0.0170316301703163,3.5163498262885304E-4,0.06849868660335422,0.3142857142857143,0.0,0.8571428571428571,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
软银中国/软银集团,6,0.75,0.16058394160583941,0.2614163606017268,0.1888903176031889,0.24848484848484848,0.2727272727272727,0.7575757575757576,0.07575757575757576,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0
UCWEB优视科技,4,0.3125,0.029197080291970802,0.007229615242849218,0.09016973125884017,0.23333333333333334,0.25,1.0,0.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0
宝诚股份,5,0.125,0.004866180048661801,1.1252319444123296E-4,0.45403111739745405,0.5,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
搜房网,12,0.0625,0.0072992700729927005,0.032242360502845985,0.9773691654879775,0.06666666666666667,0.0,0.6666666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Catalyst Investors,2,0.0625,0.004866180048661801,0.0029758165309914575,0.37765205091937765,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
和盟创投,0,0.125,0.0072992700729927005,1.7797418587455014E-4,0.026874115983026872,0.26666666666666666,0.0,0.3333333333333333,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
艺龙旅行网,0,0.25,0.014598540145985401,3.0943878471339066E-4,0.13437057991513437,0.23333333333333334,0.16666666666666666,0.8333333333333334,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Alta Ventures Mexico,4,0.3125,0.012165450121654502,0.001300431824043267,0.21386138613861386,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
Scrum Ventures,4,0.125,0.0072992700729927005,4.2851758046276987E-4,0.14992927864214994,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Earlybird Venture Capital,11,0.1875,0.014598540145985401,0.0036860447430547517,0.18033946251768035,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Life.SREDA,9,0.0625,0.004866180048661801,0.001964038910454362,0.09123055162659123,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
基石资本,14,0.5,0.019464720194647202,0.007764100416445075,0.33574964639321075,0.1,0.0,0.875,0.125,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0
科冕木业/天神互动,5,0.3125,0.0170316301703163,0.1508185882827326,0.2697514649424126,0.22857142857142856,0.14285714285714285,1.0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
Draper Fisher Jurvetson(DFJ 国外投资),7,0.5625,0.05596107055961071,0.07205965610130535,0.2433429678371564,0.0,0.0,0.0,0.0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0
圆璟投资-吴泳铭,8,0.375,0.0267639902676399,8.15793159698939E-4,0.03008872315803009,0.14545454545454545,0.0,0.45454545454545453,0.5454545454545454,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
暴风科技,5,0.1875,0.0072992700729927005,0.004678545640074805,0.06789250353606789,0.2,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
黑马基金-创业家,1,0.5,0.029197080291970802,7.267122974329629E-4,0.03182461103253183,0.2,0.16666666666666666,0.8333333333333334,0.08333333333333333,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0
清控科创控股,12,0.3125,0.0170316301703163,0.001084911133070888,0.10123257223681552,0.34285714285714286,0.42857142857142855,0.8571428571428571,0.14285714285714285,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
Alpha Capital,2,0.0625,0.004866180048661801,0.0027278318200755027,0.27793493635077793,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
广州科技风投,0,0.0625,0.004866180048661801,1.2002474073731517E-4,0.06789250353606789,0.2,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Greenoaks Capital Management,8,0.125,0.004866180048661801,0.011704878355233065,0.2036775106082037,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
新东方,0,0.1875,0.0340632603406326,0.004469849809037937,0.19337239846433624,0.17142857142857143,0.21428571428571427,0.8571428571428571,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Bee Partners,9,0.0625,0.004866180048661801,7.141959674379498E-4,0.040311173974540315,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
分享投资,6,0.625,0.06082725060827251,0.011641637819447912,0.10862800565770864,0.23199999999999998,0.16,0.88,0.12,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
华平投资,7,0.4375,0.046228710462287104,0.1723025761588671,0.1846944092905531,0.29473684210526313,0.2631578947368421,0.9473684210526315,0.05263157894736842,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0
小马蜂创投,9,0.3125,0.0340632603406326,0.001819124976799933,0.030915336431602346,0.1285714285714286,0.07142857142857142,0.7857142857142857,0.0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Union Square Ventures,7,0.625,0.043795620437956206,0.012252428596935493,0.24893917963224893,0.0,0.0,0.0,0.0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0
祥峰投资Vertex,6,0.8125,0.11678832116788321,0.04212326641957032,0.13693422913719944,0.2375,0.1875,0.6041666666666666,0.08333333333333333,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0
青骢资本,3,0.3125,0.024330900243309004,0.0013971629976453094,0.05813295615275813,0.27999999999999997,0.3,0.8,0.0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
