机构名称,聚类结果,领域数量,投资次数,投资总额,所投公司存活时间,所投公司创业人数,所投公司管理层毕业于世界500强大学占比,所投公司在一线城市占比,所投公司在二线城市占比,金融占比,旅游占比,硬件占比,汽车交通占比,企业服务占比,本地生活占比,电子商务占比,教育占比,广告营销占比,游戏占比,文化娱乐体育占比,医疗健康占比,房产服务占比,SNS社交网络占比,移动互联网占比,工具软件占比,未知领域占比
Valor Capital Group,12,0.3125,0.012165450121654502,0.033983824783922444,0.3114568599717115,0.0,0.0,0.0,0.0,0.005253940455341506,0.0,0.8756567425569177,0.0,0.08756567425569177,0.0,0.0,0.008172796263864565,0.023350846468184472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NXTP Labs,7,0.1875,0.009732360097323601,2.057281161758761E-4,0.06152758132956153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21697203471552556,0.0,0.0,0.08871745419479267,0.0,0.0,0.0,0.0,0.6943105110896818,0.0
2B Angels,5,0.125,0.0072992700729927005,0.0010367177971697485,0.17821782178217824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6555494805955693,0.0,0.3444505194121838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PayPal,8,0.125,0.0072992700729927005,0.03666205966181475,0.18104667609618105,0.0,0.0,0.0,0.0,0.974025974025974,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
北京众海投资,1,0.3125,0.0170316301703163,3.5163498262885304E-4,0.06849868660335422,0.3142857142857143,0.0,0.8571428571428571,0.0,0.32,0.0,0.26666666666666666,0.17333333333333334,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0
软银中国/软银集团,13,0.75,0.16058394160583941,0.2614163606017268,0.1888903176031889,0.24848484848484848,0.2727272727272727,0.7575757575757576,0.07575757575757576,0.03831119744324118,0.008286270576206836,0.0034025805571265724,0.25453363928642136,0.015053117336480971,0.024270438519104105,0.45042661697349146,0.0070921189113403345,0.0,0.0,0.1242946757817149,0.04596212900119795,0.0,0.0,0.025043560216016413,0.0033236553976579144,0.0
UCWEB优视科技,1,0.3125,0.029197080291970802,0.007229615242849218,0.09016973125884017,0.23333333333333334,0.25,1.0,0.0,0.0,0.0,0.0,0.007782101167315175,0.0,0.0,0.0,0.0,0.0,0.10116731517509728,0.010376134889753566,0.0,0.0,0.0,0.8728923476005188,0.007782101167315175,0.0
宝诚股份,10,0.125,0.004866180048661801,1.1252319444123296E-4,0.45403111739745405,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
搜房网,3,0.0625,0.0072992700729927005,0.032242360502845985,0.9773691654879775,0.06666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Catalyst Investors,14,0.0625,0.004866180048661801,0.0029758165309914575,0.37765205091937765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
和盟创投,2,0.125,0.0072992700729927005,1.7797418587455014E-4,0.026874115983026872,0.26666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.31612223393045313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6838777660695469,0.0,0.0,0.0
艺龙旅行网,1,0.25,0.014598540145985401,3.0943878471339066E-4,0.13437057991513437,0.23333333333333334,0.16666666666666666,0.8333333333333334,0.0,0.0,0.5454545454545454,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0
Alta Ventures Mexico,12,0.3125,0.012165450121654502,0.001300431824043267,0.21386138613861386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17086193745232647,0.0,0.0,0.0,0.011441647597254004,0.7627765064836003,0.0,0.0,0.0,0.0,0.02745995423340961,0.0,0.02745995423340961,0.0
Scrum Ventures,6,0.125,0.0072992700729927005,4.2851758046276987E-4,0.14992927864214994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.0,0.0,0.0,0.0,0.0
Earlybird Venture Capital,7,0.1875,0.014598540145985401,0.0036860447430547517,0.18033946251768035,0.0,0.0,0.0,0.0,0.17115177610333693,0.0,0.0,0.0,0.3067814854682454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5220667384284177,0.0
Life.SREDA,8,0.0625,0.004866180048661801,0.001964038910454362,0.09123055162659123,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
基石资本,1,0.5,0.019464720194647202,0.007764100416445075,0.33574964639321075,0.1,0.0,0.875,0.125,0.07246376811594203,0.0024154589371980675,0.0,0.24154589371980675,0.036231884057971016,0.0,0.024154589371980676,0.0,0.0,0.34541062801932365,0.12077294685990338,0.1570048309178744,0.0,0.0,0.0,0.0,0.0
科冕木业/天神互动,10,0.3125,0.0170316301703163,0.1508185882827326,0.2697514649424126,0.22857142857142856,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037304153195722458,0.2586421288236757,0.4985078338721711,0.16451131559313603,0.0,0.0,0.0,0.07460830639144492,0.0,0.0
Draper Fisher Jurvetson(DFJ 国外投资),0,0.5625,0.05596107055961071,0.07205965610130535,0.2433429678371564,0.0,0.0,0.0,0.0,0.03097242644491559,0.0,0.4370828819906488,0.020648284296610392,0.08626853179123822,0.0,0.05423975160092195,0.0,0.0,0.008259313718644157,0.0,0.040057671535424166,0.0,0.2312607841220364,0.0,0.09121035449956032,0.0
圆璟投资-吴泳铭,11,0.375,0.0267639902676399,8.15793159698939E-4,0.03008872315803009,0.14545454545454545,0.0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.3103448275862069,0.0,0.22988505747126436,0.034482758620689655,0.2988505747126437,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0
暴风科技,9,0.1875,0.0072992700729927005,0.004678545640074805,0.06789250353606789,0.2,0.0,1.0,0.0,0.0,0.0,0.541145062953209,0.0,0.0,0.0,0.0,0.0,0.0,0.2544223577089121,0.20443257933787895,0.0,0.0,0.0,0.0,0.0,0.0
